Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","CAPC2012X88N",180.594000,-123.952000,0.000000,top
"C2","1uF","CAPC2012X135N",188.214000,-121.412000,0.000000,top
"C3","100nF","CAPC2012X88N",109.728000,-93.065600,180.000000,top
"C4","100nF","CAPC2012X88N",114.350800,-99.364800,0.000000,top
"C5","100nF","CAPC2012X88N",201.676000,-119.634000,270.000000,top
"C6","100nF","CAPC2012X88N",179.832000,-87.884000,180.000000,top
"D1","SD0805S040S0R5","SD0805",106.934000,-97.028000,0.000000,top
"IC1","PIC12F1822-I_SN","SOIC127P600X175-8N",112.261320,-103.713118,0.000000,top
"K1","G3VM-61VY2","SOP254P700X230-4N",111.753320,-123.779118,0.000000,top
"K2","G3VM-61VY2","SOP254P700X230-4N",111.753320,-118.953118,0.000000,top
"K3","G3VM-61VY2","SOP254P700X230-4N",111.753320,-114.127118,0.000000,top
"K4","G3VM-61VY2","SOP254P700X230-4N",111.753320,-109.301118,0.000000,top
"LED1","LTST-C171KRKT (Red)","GardenGateLED",196.138800,-99.364800,0.000000,top
"LED2","LTST-C171YKT (Yellow)","GardenGateLED",196.291200,-112.826800,0.000000,top
"LED3","LTST-C171YKT (Yellow)","GardenGateLED",109.067600,-90.830400,0.000000,top
"R1","270R","RESC2012X60N",114.249200,-95.961200,180.000000,top
"R4","270R","RESC2012X60N",191.770000,-85.786000,270.000000,top
"R5","10K","RESC2012X60N",101.600000,-98.298000,0.000000,top
"R6","470R","RESC2012X60N",187.706000,-83.566000,180.000000,top
"R7","470R","RESC2012X60N",187.706000,-87.884000,180.000000,top
"R8","470R","RESC2012X60N",179.832000,-92.964000,180.000000,top
"R9","470R","RESC2012X60N",186.182000,-92.964000,0.000000,top
"R10","10K","RESC2012X60N",97.129600,-113.334800,270.000000,top
"R14","100R","RESC2012X60N",101.600000,-113.030000,180.000000,top
"R15","270R","RESC2012X60N",201.676000,-105.918000,90.000000,top
